Resturant_Name,reviews
Swan Oyster Depot,"After nearly 2.5 years of living less than 10 minutes walking distance from Swan Oyster Depot, I FINALLY made it to this iconic SF spot. I will say that we severely underestimated the wait time. We arrived at 1pm on Friday and waited for 1.5 hours. I probably will not be doing this again anytime soon, unless I'm waiting for their fresh uni (which they didn't have this time around, bummer). For two, we ordered: - dozen mixed oysters: 6 types, I liked these - smoked salmon: THEE best smoked salmon in SF, comparable to Russ & Daughters in NY which has amazing smoked salmon- smoked trout and smoked white fish: I preferred the salmon, but this was good as well - Sicilian sashimi: my first time having sashimi with olive oil, onions and capers. This was really good, my absolute favorite were the scallops which we ended up ordering more of. GET THE SCALLOPS! - Scallops: So buttery, get the Sicilian style over the ponzu style- octopus salad: I would pass on this Total with two glasses of wine came out to $156 which is pretty hefty for lunch. We waited a long time so might as well try everything and make it worthwhile, right? Swan's definitely a SF bucket list place, but for the price and wait it's not something I would do regularly."
Swan Oyster Depot,"After nearly 2.5 years of living less than 10 minutes walking distance from Swan Oyster Depot, I FINALLY made it to this iconic SF spot. I will say that we severely underestimated the wait time. We arrived at 1pm on Friday and waited for 1.5 hours. I probably will not be doing this again anytime soon, unless I'm waiting for their fresh uni (which they didn't have this time around, bummer). For two, we ordered: - dozen mixed oysters: 6 types, I liked these - smoked salmon: THEE best smoked salmon in SF, comparable to Russ & Daughters in NY which has amazing smoked salmon- smoked trout and smoked white fish: I preferred the salmon, but this was good as well - Sicilian sashimi: my first time having sashimi with olive oil, onions and capers. This was really good, my absolute favorite were the scallops which we ended up ordering more of. GET THE SCALLOPS! - Scallops: So buttery, get the Sicilian style over the ponzu style- octopus salad: I would pass on this Total with two glasses of wine came out to $156 which is pretty hefty for lunch. We waited a long time so might as well try everything and make it worthwhile, right? Swan's definitely a SF bucket list place, but for the price and wait it's not something I would do regularly."
Swan Oyster Depot,"After nearly 2.5 years of living less than 10 minutes walking distance from Swan Oyster Depot, I FINALLY made it to this iconic SF spot. I will say that we severely underestimated the wait time. We arrived at 1pm on Friday and waited for 1.5 hours. I probably will not be doing this again anytime soon, unless I'm waiting for their fresh uni (which they didn't have this time around, bummer). For two, we ordered: - dozen mixed oysters: 6 types, I liked these - smoked salmon: THEE best smoked salmon in SF, comparable to Russ & Daughters in NY which has amazing smoked salmon- smoked trout and smoked white fish: I preferred the salmon, but this was good as well - Sicilian sashimi: my first time having sashimi with olive oil, onions and capers. This was really good, my absolute favorite were the scallops which we ended up ordering more of. GET THE SCALLOPS! - Scallops: So buttery, get the Sicilian style over the ponzu style- octopus salad: I would pass on this Total with two glasses of wine came out to $156 which is pretty hefty for lunch. We waited a long time so might as well try everything and make it worthwhile, right? Swan's definitely a SF bucket list place, but for the price and wait it's not something I would do regularly."
Swan Oyster Depot,"After nearly 2.5 years of living less than 10 minutes walking distance from Swan Oyster Depot, I FINALLY made it to this iconic SF spot. I will say that we severely underestimated the wait time. We arrived at 1pm on Friday and waited for 1.5 hours. I probably will not be doing this again anytime soon, unless I'm waiting for their fresh uni (which they didn't have this time around, bummer). For two, we ordered: - dozen mixed oysters: 6 types, I liked these - smoked salmon: THEE best smoked salmon in SF, comparable to Russ & Daughters in NY which has amazing smoked salmon- smoked trout and smoked white fish: I preferred the salmon, but this was good as well - Sicilian sashimi: my first time having sashimi with olive oil, onions and capers. This was really good, my absolute favorite were the scallops which we ended up ordering more of. GET THE SCALLOPS! - Scallops: So buttery, get the Sicilian style over the ponzu style- octopus salad: I would pass on this Total with two glasses of wine came out to $156 which is pretty hefty for lunch. We waited a long time so might as well try everything and make it worthwhile, right? Swan's definitely a SF bucket list place, but for the price and wait it's not something I would do regularly."
Swan Oyster Depot,"After nearly 2.5 years of living less than 10 minutes walking distance from Swan Oyster Depot, I FINALLY made it to this iconic SF spot. I will say that we severely underestimated the wait time. We arrived at 1pm on Friday and waited for 1.5 hours. I probably will not be doing this again anytime soon, unless I'm waiting for their fresh uni (which they didn't have this time around, bummer). For two, we ordered: - dozen mixed oysters: 6 types, I liked these - smoked salmon: THEE best smoked salmon in SF, comparable to Russ & Daughters in NY which has amazing smoked salmon- smoked trout and smoked white fish: I preferred the salmon, but this was good as well - Sicilian sashimi: my first time having sashimi with olive oil, onions and capers. This was really good, my absolute favorite were the scallops which we ended up ordering more of. GET THE SCALLOPS! - Scallops: So buttery, get the Sicilian style over the ponzu style- octopus salad: I would pass on this Total with two glasses of wine came out to $156 which is pretty hefty for lunch. We waited a long time so might as well try everything and make it worthwhile, right? Swan's definitely a SF bucket list place, but for the price and wait it's not something I would do regularly."
Swan Oyster Depot,"After nearly 2.5 years of living less than 10 minutes walking distance from Swan Oyster Depot, I FINALLY made it to this iconic SF spot. I will say that we severely underestimated the wait time. We arrived at 1pm on Friday and waited for 1.5 hours. I probably will not be doing this again anytime soon, unless I'm waiting for their fresh uni (which they didn't have this time around, bummer). For two, we ordered: - dozen mixed oysters: 6 types, I liked these - smoked salmon: THEE best smoked salmon in SF, comparable to Russ & Daughters in NY which has amazing smoked salmon- smoked trout and smoked white fish: I preferred the salmon, but this was good as well - Sicilian sashimi: my first time having sashimi with olive oil, onions and capers. This was really good, my absolute favorite were the scallops which we ended up ordering more of. GET THE SCALLOPS! - Scallops: So buttery, get the Sicilian style over the ponzu style- octopus salad: I would pass on this Total with two glasses of wine came out to $156 which is pretty hefty for lunch. We waited a long time so might as well try everything and make it worthwhile, right? Swan's definitely a SF bucket list place, but for the price and wait it's not something I would do regularly."
Swan Oyster Depot,"After nearly 2.5 years of living less than 10 minutes walking distance from Swan Oyster Depot, I FINALLY made it to this iconic SF spot. I will say that we severely underestimated the wait time. We arrived at 1pm on Friday and waited for 1.5 hours. I probably will not be doing this again anytime soon, unless I'm waiting for their fresh uni (which they didn't have this time around, bummer). For two, we ordered: - dozen mixed oysters: 6 types, I liked these - smoked salmon: THEE best smoked salmon in SF, comparable to Russ & Daughters in NY which has amazing smoked salmon- smoked trout and smoked white fish: I preferred the salmon, but this was good as well - Sicilian sashimi: my first time having sashimi with olive oil, onions and capers. This was really good, my absolute favorite were the scallops which we ended up ordering more of. GET THE SCALLOPS! - Scallops: So buttery, get the Sicilian style over the ponzu style- octopus salad: I would pass on this Total with two glasses of wine came out to $156 which is pretty hefty for lunch. We waited a long time so might as well try everything and make it worthwhile, right? Swan's definitely a SF bucket list place, but for the price and wait it's not something I would do regularly."
Swan Oyster Depot,"After nearly 2.5 years of living less than 10 minutes walking distance from Swan Oyster Depot, I FINALLY made it to this iconic SF spot. I will say that we severely underestimated the wait time. We arrived at 1pm on Friday and waited for 1.5 hours. I probably will not be doing this again anytime soon, unless I'm waiting for their fresh uni (which they didn't have this time around, bummer). For two, we ordered: - dozen mixed oysters: 6 types, I liked these - smoked salmon: THEE best smoked salmon in SF, comparable to Russ & Daughters in NY which has amazing smoked salmon- smoked trout and smoked white fish: I preferred the salmon, but this was good as well - Sicilian sashimi: my first time having sashimi with olive oil, onions and capers. This was really good, my absolute favorite were the scallops which we ended up ordering more of. GET THE SCALLOPS! - Scallops: So buttery, get the Sicilian style over the ponzu style- octopus salad: I would pass on this Total with two glasses of wine came out to $156 which is pretty hefty for lunch. We waited a long time so might as well try everything and make it worthwhile, right? Swan's definitely a SF bucket list place, but for the price and wait it's not something I would do regularly."
Swan Oyster Depot,"After nearly 2.5 years of living less than 10 minutes walking distance from Swan Oyster Depot, I FINALLY made it to this iconic SF spot. I will say that we severely underestimated the wait time. We arrived at 1pm on Friday and waited for 1.5 hours. I probably will not be doing this again anytime soon, unless I'm waiting for their fresh uni (which they didn't have this time around, bummer). For two, we ordered: - dozen mixed oysters: 6 types, I liked these - smoked salmon: THEE best smoked salmon in SF, comparable to Russ & Daughters in NY which has amazing smoked salmon- smoked trout and smoked white fish: I preferred the salmon, but this was good as well - Sicilian sashimi: my first time having sashimi with olive oil, onions and capers. This was really good, my absolute favorite were the scallops which we ended up ordering more of. GET THE SCALLOPS! - Scallops: So buttery, get the Sicilian style over the ponzu style- octopus salad: I would pass on this Total with two glasses of wine came out to $156 which is pretty hefty for lunch. We waited a long time so might as well try everything and make it worthwhile, right? Swan's definitely a SF bucket list place, but for the price and wait it's not something I would do regularly."
Swan Oyster Depot,"After nearly 2.5 years of living less than 10 minutes walking distance from Swan Oyster Depot, I FINALLY made it to this iconic SF spot. I will say that we severely underestimated the wait time. We arrived at 1pm on Friday and waited for 1.5 hours. I probably will not be doing this again anytime soon, unless I'm waiting for their fresh uni (which they didn't have this time around, bummer). For two, we ordered: - dozen mixed oysters: 6 types, I liked these - smoked salmon: THEE best smoked salmon in SF, comparable to Russ & Daughters in NY which has amazing smoked salmon- smoked trout and smoked white fish: I preferred the salmon, but this was good as well - Sicilian sashimi: my first time having sashimi with olive oil, onions and capers. This was really good, my absolute favorite were the scallops which we ended up ordering more of. GET THE SCALLOPS! - Scallops: So buttery, get the Sicilian style over the ponzu style- octopus salad: I would pass on this Total with two glasses of wine came out to $156 which is pretty hefty for lunch. We waited a long time so might as well try everything and make it worthwhile, right? Swan's definitely a SF bucket list place, but for the price and wait it's not something I would do regularly."
